developer,title,release_date,recommend
SEGA,Golden Axe II,2010-10-26,True
SEGA,Sonic The Hedgehog,2010-10-26,False
SEGA,Ecco The Tides of Time,2010-10-26,False
SEGA,BioHazard Battle,2010-10-26,False
SEGA,Alien Storm,2010-10-26,True
Klei Entertainment,Shank,2010-10-25,True
Teotl Studios,The Ball,2010-10-26,True
Aspyr Studios,STAR WARS The Force Unleashed II,2010-10-26,True
Firemint,Flight Control HD,2010-11-18,True
Ascaron Entertainment ltd,Patrician III,2010-11-18,False
Gaijin Games,BITTRIP BEAT,2010-11-02,False
C Company,Theatre of War   Battle for Caen,2010-11-02,True
Nitro Games,Woody TwoLegs Attack of the Zombie Pirates,2010-11-02,True
Tomkorp Computer Solutions Inc,Clones,2010-11-18,True
Paradox Interactive,Victoria II Interwar Spritepack,2010-11-02,True
Double Helix Games,Front Mission Evolved Wanzer Pack ,2010-11-02,True
Centauri Production,Pound of Ground,2010-11-05,True
Centauri Production,Pat amp Mat,2009-10-01,True
Centauri Production,Alternativa,2010-11-03,True
Altar Games,Fish Fillets ,2007-04-05,False
React Games,Archon Classic,2010-11-02,True
Treyarch,Call of Duty Black Ops,2010-11-09,True
Sonic Boom Games,Rhythm Zone Tornado Visualizer DLC,2010-11-09,True
Oddworld Inhabitants,Oddworld Munchs Oddysee,2010-12-20,True
Sonic Boom Games,Rhythm Zone DJ Table Visualizer DLC,2010-11-09,True
Oddworld Inhabitants,Oddworld Strangers Wrath HD,2010-12-20,True
Ntreev Soft Co Ltd,Clickr,2010-12-23,True
Telltale Games,Back to the Future The Game,2010-12-23,True
Rockstar Games,Grand Theft Auto III,2002-05-21,False
Rockstar Games,Grand Theft Auto San Andreas,2005-06-06,False
Crystal Dynamics Inc,Lara Croft GoL Raziel and Kain Character Pack,2011-01-07,False
Crystal Dynamics Inc,Lara Croft GoL Things that Go Boom  Challenge Pack ,2011-01-07,True
Crystal Dynamics,Lara Croft GoL Hazardous Reunion  Challenge Pack ,2011-01-07,True
Crystal Dynamics Inc,Lara Croft GoL All the Trappings  Challenge Pack ,2011-01-07,True
Rockstar Games,Grand Theft Auto Vice City,2003-05-13,True
Brightside Games,Zeit,2011-01-12,False
Extend Studio,ARES Extinction Agenda,2011-01-20,True
BlueGiant Interactive,APOX,2011-01-20,True
Visceral Games,Dead Space ,2011-01-25,True
Big Fish Studios,Drawn The Painted Tower,2011-01-19,False
Cateia Games,Kaptain Brawe A Brawe New World,2011-01-20,True
Uber Entertainment,Monday Night Combat,2011-01-24,True
MumboJumbo,Luxor th Passage,2011-01-25,True
SEGA,Alien Soldier,2011-01-26,True
SEGA,Shining in the Darkness,2011-01-26,True
SEGA,Light Crusader,2011-01-26,True
SEGA,Landstalker The Treasures of King Nole,2011-01-26,True
SEGA,Gunstar Heroes,2011-01-26,True
SEGA,ToeJam amp Earl,2011-01-26,True
SEGA,Streets of Rage ,2011-01-26,False
SEGA,Sonic The Hedgehog ,2011-01-26,False
SEGA,Streets of Rage,2011-01-26,True
SEGA,Shining Force II,2011-01-26,True
SEGA,Shining Force,2011-01-26,False
The Sims Studio,The Sims ,2009-06-02,False
VStep,Ship Simulator Extremes Sigita Pack,2011-01-26,True
The Sims Studio,The Sims  Fast Lane Stuff,2010-09-07,False
The Sims Studio,The Sims  World Adventures,2009-11-17,
The Sims Studio,The Sims  Late Night,2010-10-26,False
The Sims Studio,The Sims  Ambitions,2010-06-02,True
The Sims Studio,The Sims  HighEnd Loft Stuff,2010-02-02,False
Trinoteam,Trino,2011-01-27,True
Virtual Prophecy Entertainment,Mishap  An Intentional Haunting  Collectors Edition,2011-01-28,False
The Sims Studio,The Sims  Outdoor Living Stuff,2011-02-01,False
Mediatonic,Whos That Flying,2011-01-31,True
Cyan Worlds,Myst Masterpiece Edition,2011-02-02,True
Petroglyph,Guardians of Graxia Elves amp Dwarves,2011-02-01,True
Reality Pump Studios,Two Worlds II HD,2011-02-03,True
Eden Studios,Test Drive Unlimited ,Feb 2011,True
NeoCoreGames,King Arthur The Druids,2011-02-03,True
Positech Games,Gratuitous Space Battles Galactic Conquest,2011-02-11,True
NeoCoreGames,The Kings Crusade New Allies,2011-02-09,True
Realmforge Studios,DUNGEONS  Steam Special Edition,2011-02-10,True
Arcen Games LLC,AI War Light of the Spire,2011-02-14,False
DTP,Drakensang The River of Time,2011-01-11,True
Stainless Games,RISK Factions,2011-03-08,True
Fakt Software,Crazy Machines  Time Travel AddOn,2011-03-11,False
Gaijin Games,BITTRIP RUNNER,2011-02-28,True
Kaos StudiosDigital Extremes,Homefront,2011-03-14,True
Red Redemption,Fate of the World,2011-02-28,True
Copenhagen Game Collective,BUTTON Brutally Unfair Tactics Totally OK Now,2011-02-28,True
Relic EntertainmentFeral Interactive MacLinux,Warhammer  Dawn of War II  Retribution Ork Race Pack,2011-02-28,True
Relic EntertainmentFeral Interactive MacLinux,Warhammer  Dawn of War II  Retribution Imperial Guard Race Pack,2011-02-28,True
Relic EntertainmentFeral interactive MacLinux,Warhammer  Dawn of War II  Retribution Eldar Race Pack,2011-02-28,True
Relic EntertainmentFeral interactive MacLinux,Warhammer  Dawn of War II  Retribution Chaos Space Marines Race Pack,2011-02-28,True
Trion Worlds,RIFT,2013-10-24,False
Relic EntertainmentFeral Interactive MacLinux,Warhammer  Dawn of War II Retribution,2011-02-28,True
Stout Games,Dinner Date,2011-03-01,True
Relic EntertainmentFeral Interactive MacLinux,Warhammer  Dawn of War II  Retribution Space Marines Race Pack,2011-02-28,True
Black Lion Studios,Shadow Harvest Phantom Ops,2011-04-05,True
Colossal Order Ltd,Cities in Motion Design Classics,2011-04-05,True
VStep,Ship Simulator Extremes Ferry Pack,2011-04-05,False
Relic EntertainmentFeral Interactive MacLinux,Warhammer  Dawn of War II Retribution Dark Angels Pack,2011-04-06,True
SimBin,STCC The Game   Expansion Pack for RACE ,2011-04-08,False
 bit studios,Anomaly Warzone Earth,2011-04-08,True
Ntronium Games,Armada ,2010-06-10,True
Martin Ivanov,Darkest Hour A Hearts of Iron Game,2011-04-08,True
Realmforge Studios,Dungeons Into the Dark DLC Pack,2011-04-11,True
 North and Digital Ranch,Dino DDay,2011-04-08,True
Gaming Minds Studios,Patrician IV Rise of a Dynasty,2011-04-11,False
Valve,Portal ,2011-04-18,True
Arrowhead Game Studios,Magicka Vietnam,2011-04-12,True
Coffee Stain Studios,Sanctum,2011-04-15,True
CInoCo,Majesty  Collection,2011-04-19,True
Relic EntertainmentFeral Interactive MacLinux,Warhammer  Dawn of War II  Retribution  Mekboy Wargear DLC,2011-05-26,True
Relic EntertainmentFeral Interactive MacLinux,Dawn of War II Retribution  The Last Stand,2011-04-20,True
Relic EntertainmentFeral Interactive MacLinux,Warhammer  Dawn of War II  Retribution  Farseer Wargear DLC,2011-05-26,True
Mode ,Frozen Synapse,2011-05-26,True
Relic EntertainmentFeral Interactive MacLinux,Warhammer  Dawn of War II Retribution  Captain Wargear DLC,2011-05-26,True
inner seas,Winter Voices Episode  Amethyst Rivers,2011-05-27,
inXile Entertainment,Hunted The Demons Forge,2011-05-30,True
Fatshark,Hamiltons Great Adventure,2011-05-31,True
The Sims Studio,The Sims  Generations,2011-05-31,True
Colossal Order Ltd,Cities in Motion Tokyo,2011-05-31,False
Arrowhead Game Studios,Magicka Nippon,2011-05-31,True
Behaviour,Ghostbusters Sanctum of Slime Challenge Pack DLC,2011-06-01,True
Microids,Still Life ,2009-08-10,True
Microids,Still Life,2005-06-06,True
Treyarch,Call of Duty Black Ops Escalation Content Pack,2011-06-02,True
Obsidian Entertainment,Dungeon Siege III,2011-06-20,True
Gearbox Software,Duke Nukem Forever,2011-06-13,
Red Duck Inc,AVA Alliance of Valiant Arms,2011-06-14,True
Cryptic Studios,Champions Online,2009-09-01,True
Apus SoftwareThree Donkeys LLC,Spectromancer  Truth amp Beauty,2011-06-13,True
Colossal Order Ltd,Cities in Motion Design Now,2011-06-14,False
Reality Pump Studios,Two Worlds II Castle Defense,2011-06-14,False
Peter Brinson and Kurosh ValaNejad,The Cat and the Coup,2011-06-15,True
Stainless Games Ltd,Magic The Gathering  Duels of the Planeswalkers ,2011-06-15,False
Bacon Wrapped Games,Ancients of Ooga,2011-05-20,False
Cold Beam Games,Beat Hazard Ultra,2011-06-16,False
Mode ,Frozen Synapse Soundtrack,2011-06-16,False
Murudai,Solar ,2011-06-17,False
Totem Games,Ironclads Schleswig War ,2011-06-21,True
Totem games,Ironclads Anglo Russian War ,2011-06-21,True
Arrowhead Game Studios,Magicka Final Frontier,2011-06-21,False
Totem Games,Ironclads Chincha Islands War ,2011-06-21,True
Day  Studios,FEAR ,2011-06-21,True
Arrowhead Game Studios,Magicka Frozen Lake,2011-06-21,True
Arrowhead Game Studios,Magicka The Watchtower,2011-06-21,True
NV Games,Trainz Simulator DLC The Duchess,2011-06-22,True
Arrowhead Game Studios,Magicka Party Robes,2011-06-21,False
Paradox Interactive,Europa Universalis III Western  AD  Spritepack,2011-06-23,True
Bedlam Games,Dungeons and Dragons Daggerdale,2011-06-24,True
SimBin,RETRO  Expansion Pack for RACE ,2011-06-23,True
Giants Software,Farming Simulator  Equipment Pack ,2011-06-24,True
Paradox Interactive,Europa Universalis III Eastern  AD  Spritepack,2011-06-23,True
Paradox Development Studio,Hearts of Iron III For the Motherland,2011-06-28,True
Team Digital Ltd,Worms Reloaded Puzzle Pack,2011-06-30,True
Team Digital Ltd,Worms Reloaded Retro Pack,2011-06-30,True
Team Digital Ltd,Worms Reloaded Time Attack Pack,2011-06-30,True
Realmforge Studios,Dungeons Map Pack DLC,2011-07-01,True
Team Digital Ltd,Worms Reloaded Forts Pack,2011-06-30,True
Telltale Games,Puzzle Agent ,2011-06-30,True
Tripwire Interactive,Killing Floor Steampunk Character Pack,2011-07-02,True
Ageod,Pride of Nations SpanishAmerican War ,2011-07-18,True
Secret Base,Tobes Vertical Adventure,2011-07-18,True
Obsidian Entertainment,Fallout New Vegas Old World Blues,2011-07-18,True
Relic EntertainmentFeral Interactive MacLinux,Warhammer  Dawn of War II Retribution  Ulthwe Wargear DLC,2011-07-19,True
YeaBoing,Lucid,2011-07-19,True
Dovetail Games,Train Simulator BR Class  CIG Loco,2011-07-19,True
Kaos StudiosDigital Extremes,Homefront Express  Shotgun,2011-07-21,True
Mystic Box,Runespell Overture,2011-07-20,True
Digitalmindsoft,Men of War Assault Squad  Skirmish Pack,2011-07-21,True
Dejobaan Games LLC,Aaaaa  Brutal Concussion,2011-07-22,
Lunar Giant,Delve Deeper Treasures and Tunnels,2011-07-22,True
Extend Studio,ARES Berzerker Suit,2011-07-22,False
Colossal Order Ltd,Cities in Motion Metro Stations,2011-07-22,True
HeR Interactive,Nancy Drew Secrets Can Kill REMASTERED,2010-08-24,True
Bohemia Interactive,ARMA Cold War Assault,2011-08-08,False
Zachtronics,SpaceChem  Corvi,2011-07-22,True
Haemimont Games,Tropico ,2011-09-01,True
HeR Interactive,Nancy Drew The Captive Curse,2011-06-28,True
HeR Interactive,Nancy Drew Trail of the Twister,2010-06-29,False
Total Eclipse,The Clockwork Man,2011-08-10,True
Ageod,Pride of Nations American Civil War ,2011-08-10,True
Two Tribes,EDGE,2011-08-11,True
Firaxis GamesAspyr Mac Linux,Civilization V  Civ and Scenario Pack Korea,2011-08-11,True
Firaxis GamesAspyr Mac Linux,Civilization V  Scenario Pack Wonders of the Ancient World,2011-08-11,True
Coffee Stain Studios,Sanctum Official Soundtrack,2011-08-12,True
exosyphen studios,Hacker Evolution Duality,2011-08-15,True
MinMax Games Ltd,Space Pirates and Zombies,2011-08-15,True
TimeGate Studios,Section  Prejudice Frontier Colonies Map Pack,2011-08-16,True
TimeGate Studios,Section  Prejudice Blitz Pack,2011-08-16,False
TimeGate Studios,Section  Prejudice Overdrive Map Pack,2011-08-16,True
Relic EntertainmentFeral Interactive MacLinux,Warhammer  Dawn of War II  Ultramarines Pack,2011-08-16,True
Obsidian Entertainment,Fallout New Vegas Lonesome Road,2011-09-20,False
Three Rings,Puzzle Pirates,2011-08-31,True
Hothead Games,The Baconing,2011-08-31,True
Relic,Warhammer  Space Marine,2011-09-05,True
C Company,Men of War Vietnam,2011-09-08,True
Flying Wild Hog,Hard Reset Extended Edition,2012-07-12,True
Ageod,Pride of Nations The FrancoPrussian War ,2011-09-06,True
Octane GamesMeridian,Wasteland Angel,2011-09-01,True
ACE Team,Rock of Ages,2011-09-07,False
Tripwire Interactive,Red Orchestra  Heroes of Stalingrad with Rising Storm,2011-09-13,True
Colossal Order Ltd,Cities in Motion German Cities,2011-09-14,True
Stainless Games Ltd,Magic The Gathering   Expansion,2011-09-14,True
Paradox Development Studio,Sengoku,2011-09-15,True
PomPom,Astro Tripper,2011-09-15,True
HeR Interactive,Nancy Drew Shadow at the Waters Edge,2010-10-19,False
Reality Pump Studios,Two Worlds II  Pirates of the Flying Fortress,2011-09-20,True
NGD Studios,Bunch of Heroes,2011-09-21,True
Gearbox Software,Duke Nukem Forever Hail to the Icons Parody Pack,2011-10-11,True
Gas Powered Games,Supreme Commander Forged Alliance,2011-09-28,True
Edmund McMillen and Florian Himsl,The Binding of Isaac,2011-09-28,False
Giants Software,Farming Simulator  Equipment Pack ,2011-09-29,True
CAvalon,OffRoad Drive,2011-09-29,True
Gas Powered Games,Supreme Commander,2007-02-20,False
Red Redemption,Fate of the World Tipping Point,2011-09-29,True
Steel Monkeys,Post Apocalyptic Mayhem DLC  Chaos Pack,2011-09-29,True
Red Redemption,Fate of the World Denial,2011-09-29,True
Red Redemption,Fate of the World Migration,2011-09-29,False
City Interactive,Sniper Ghost Warrior  Second Strike,2011-09-09,True
Games FarmDivision,Air Conflicts Secret Wars,2011-09-30,True
Red Redemption,Fate of the World Extras Pack,2011-09-29,True
Capcom Vancouver,Dead Rising  Off the Record,2011-10-11,True
Hothead Games,The Baconing DLC  Roesha  One Bad Mutha Coop Character,2011-10-11,False
Akelladat,Disciples III  Resurrection,2011-10-11,True
Days of Wonder,Memoir  Online,2011-10-12,True
Dovetail Games,Train Simulator Amtrak Acela Express EMU AddOn,2011-10-13,True
Double Fine Productions,Costume Quest,2011-10-14,True
The Sims Studio,The Sims  Pets,2011-10-18,True
Positech Games,Gratuitous Space Battles The Parasites,2011-10-17,True
VlambeerCroteam,Serious Sam The Random Encounter,2011-10-24,True
Ideas Pad,Puzzler World ,2011-10-24,True
bAlive,Airline Tycoon ,2011-10-24,True
Spellbound Studios,ArcaniA Fall of Setarrif,2011-10-24,True
KTX Software,The Haunted Hells Reach,2011-10-24,True
Robot Entertainment,Orcs Must Die  Artifacts of Power,2011-10-25,False
Obsidian Entertainment,Dungeon Siege III Treasures of the Sun,2011-10-25,False
Daybreak Game Company,DC Universe Online,2011-11-02,True
Haemimont GamesFeral Interactive Mac,Tropico  Junta Military DLC,2011-11-03,True
Devils Details,Sonic Generations Collection,2011-11-03,False
HeR Interactive,Nancy Drew Alibi in Ashes,2011-11-02,False
Robot Entertainment,Orcs Must Die  Lost Adventures,2011-11-08,False
Infinity WardSledgehammer GamesAspyr Mac,Call of Duty Modern Warfare ,2011-11-08,False
Team BondiRockstar Leeds,LA Noire,2011-11-08,False
Team BondiRockstar Leeds,LA Noire DLC Bundle,2011-11-08,False
Digitalmindsoft,Men of War Assault Squad  MP Supply Pack Charlie,2011-11-09,True
Final Form Games,Jamestown Gunpowder Treason amp Plot,2011-11-10,True
Trendy Entertainment,Dungeon Defenders Halloween Mission Pack,2011-11-11,True
Cipher Prime Studios,Fractal Make Blooms Not War,2011-11-29,True
Arrowhead Game Studios,Magicka Horror Props Item Pack,2011-11-29,True
Digital Reality,SkyDrift,2011-11-21,True
Arrowhead Game Studios,Magicka Holiday Spirit Item Pack,2011-11-29,True
The Creative AssemblyFeral Interactive MacFeral Interactive Linux,Total War SHOGUN   The Hattori Clan Pack,2011-11-30,True
The Creative AssemblyFeral Interactive MacFeral Interactive Linux,Total War Shogun   Blood Pack DLC,2011-11-30,True
Arrowhead Game Studios,Magicka The Stars Are Left,2011-11-29,True
Paradox Interactive,Europa Universalis III Reformation SpritePack,2011-11-30,True
Unicorn Games Studio,Real Warfare ,2010-06-11,True
Stardock Entertainment,Galactic Civilizations II Ultimate Edition,2011-12-02,False
KrossRailsDovetail Games,Train Simulator West Coast Main Line North Route AddOn,2011-12-01,True
Reloaded Productions,APB Reloaded,2011-12-06,True
Wadjet Eye Games,Blackwell Unbound,2012-01-13,True
Digitalmindsoft,Men of War Assault Squad  Skirmish Pack ,2011-12-12,True
Tripwire Interactive,Killing Floor  Steampunk Character Pack ,2011-12-07,False
Team  Studios,Flatout  Chaos amp Destruction,2011-12-13,False
Ubisoft Montreal,Assassins Creed Revelations  The Ancestors Character Pack,2011-12-13,True
Trendy Entertainment,Dungeon Defenders The Great Turkey Hunt Mission amp Costumes,2011-12-13,True
Haemimont GamesFeral Interactive Mac,Tropico  Plantador DLC,2011-12-14,True
Vicious Cycle Software Inc,Earth Defense Force Insect Armageddon,2011-12-14,True
Stainless Games Ltd,Magic  Deck Pack ,2011-12-14,True
Relic,Warhammer  Space Marine  Golden Relic Chainsword,2011-12-15,True
Relic,Warhammer  Space Marine  Traitor Legions Pack,2011-12-15,True
Gaslamp Games Inc,Dungeons of Dredmor Realm of the Diggle Gods,2011-12-14,False
Relic,Warhammer  Space Marine  Emperors Elite Pack,2011-12-15,True
Nitro Games,Pirates of Black Cove Origins,2011-12-15,True
Relic,Warhammer  Space Marine  Golden Relic Bolter,2011-12-15,True
Egosoft,X Albion Prelude,2011-12-15,True
Frozenbyte,Trine  Complete Story,2013-06-06,True
Trendy Entertainment,Dungeon Defenders  Quest for the Lost Eternia Shards Part ,2011-12-15,False
ASTRO PORT,SATAZIUS,2011-12-16,True
Lionhead Studios,Fable  The Lost Chapters,2011-12-19,True
Avalanche Studios,Renegade Ops  Reinforcement Pack,2011-12-19,True
Fakt Software,Crazy Machines  Happy New Year DLC,2011-12-19,True
Trendy Entertainment,Dungeon Defenders  Etherian Holiday Extravaganza,2011-12-20,True
Volition,Saints Row The Third Warrior Pack,2011-12-20,True
Avalanche Studios,Renegade Ops  Coldstrike Campaign,2011-12-19,True
Relic,Warhammer  Space Marine  Alpha Legion Champion Armour Set,2011-12-20,True
Relic,Warhammer  Space Marine  Salamanders Veteran Armour Set,2011-12-20,True
Relic,Warhammer  Space Marine  Blood Angels Veteran Armour Set,2011-12-20,False
Relic,Warhammer  Space Marine  Legion of the Damned Armour Set,2011-12-20,True
Relic,Warhammer  Space Marine  Chaos Unleashed Map Pack,2011-12-20,True
DPublisher of America Inc,Earth Defense Force Tactician Advanced Tech Package,2011-12-20,False
DPublisher of America Inc,Earth Defense Force Trooper Special Issue Enforcer Package,2011-12-20,True
DPublisher of America Inc,Earth Defense Force Battle Armor Weapon Chest,2011-12-20,True
Unigine Corp,Oil Rush,2012-01-25,False
Dovetail Games,Train Simulator Woodhead Route AddOn,2012-01-26,False
NeocoreGames,King Arthur II The RolePlaying Wargame,2012-01-27,False
NEOCORE GAMES,King Arthur II Dead Legions,2012-01-27,False
Croteam,Serious Sam ,2005-10-11,False
Lizsoft,Fortune Summoners,2012-01-30,True
